gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
9,23,False,False,21,managed throughout,4590.824259187493,3,0
10,24,False,False,21,managed throughout,8266.47808683299,1,0
11,25,False,False,21,managed throughout,4024.0952567788113,2,0
12,26,False,False,21,managed throughout,8394.67795270159,1,0
13,27,False,False,21,managed throughout,9709.018669463027,2,0
14,28,False,False,21,managed throughout,8361.110332285527,1,0
15,29,False,False,21,managed throughout,5352.979588703661,2,0
16,30,False,False,21,managed throughout,6052.359990665528,1,0
17,31,False,False,21,managed throughout,6530.2884768147405,1,0
18,32,False,False,21,managed throughout,2500.9806564190235,2,0
19,33,False,False,21,managed throughout,2286.036667411008,2,0
20,34,False,False,21,managed throughout,5461.3790717954,1,0
32,46,False,False,21,managed throughout,974.4472928658704,2,0
33,47,False,False,21,managed throughout,1972.599260263191,2,0
34,48,False,False,21,managed throughout,484.66194771783245,1,0
35,49,False,False,21,managed throughout,404.54355654717045,1,0
36,50,False,False,21,managed throughout,502.55632798279976,1,0
37,51,False,False,21,managed throughout,1871.5902468498098,2,0
38,52,False,False,21,managed throughout,2175.7396353288545,2,0
39,53,False,False,21,managed throughout,3346.1212703704896,0,0
40,54,False,False,21,managed throughout,3907.3727506691303,1,0
41,55,False,False,21,managed throughout,4936.657120237766,1,0
42,56,False,False,21,managed throughout,5146.8198066444,2,0
43,57,False,False,21,managed throughout,2451.8632095079142,2,0
44,58,False,False,21,managed throughout,4574.024325231498,2,0
45,59,False,False,21,managed throughout,8447.07207779292,1,0
46,60,False,False,21,managed throughout,9347.957020932472,1,0
47,61,False,False,21,managed throughout,6573.58884344821,1,0
48,62,False,False,21,managed throughout,6520.4650413838535,1,0
49,63,False,False,21,managed throughout,7497.568014314108,2,0
50,64,False,False,21,managed throughout,8575.8705424502,1,0
51,65,False,False,21,managed throughout,7532.970066083144,1,0
52,66,False,False,21,managed throughout,5117.116652782764,1,0
53,67,False,False,21,managed throughout,8021.133213496552,1,0
54,68,False,False,21,managed throughout,6609.531155971129,2,0
55,69,False,False,21,managed throughout,6483.602977161296,2,0
56,70,False,False,21,managed throughout,6576.627176772347,1,0
57,71,False,False,21,managed throughout,6285.146863780375,1,0
58,72,False,False,21,managed throughout,5213.291918649536,1,0
59,73,False,False,21,managed throughout,5733.8805505223645,2,0
60,74,False,False,21,managed throughout,3890.5491125583717,2,0
61,75,False,False,21,managed throughout,3612.646801857523,2,0
62,76,False,False,21,managed throughout,3798.1870626579052,2,0
63,77,False,False,21,managed throughout,3822.4848930759763,2,0
64,78,False,False,21,managed throughout,3814.6629791866876,2,0
65,79,False,False,21,managed throughout,1405.644435262686,1,0
66,80,False,False,21,managed throughout,1859.6915150823947,2,0
67,81,False,False,21,managed throughout,821.5829337514582,2,0
84,98,False,False,21,managed throughout,15915.964194745737,0,0
85,99,False,False,21,managed throughout,33652.00444393158,0,0
86,100,False,False,21,managed throughout,28523.688147068024,0,0
87,101,False,False,21,managed throughout,8962.74028473317,2,0
88,102,False,False,21,managed throughout,2980.2627446762945,2,0
89,103,False,False,21,managed throughout,3054.321168200037,2,0
90,104,False,False,21,managed throughout,4326.74402780962,2,0
