domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr
1,3.5301888888888886,-1.526,-1.52636,4.769877488957263,3.534906629434979,0.004717740546090532,6.295877488957263,6.296237488957264,-1.2682002355572877,-1.3093147929494473,-4.839503681838336,0.25779976444271235,0.25815976444271227,-1.5282099817045491,-1.5107456942847972,-5.040934583173685,-0.0022099817045491132,-0.0018499817045491973
2,2.744290909090909,-1.455,-1.45528,3.931513593556247,3.1720164892311407,0.42772558014023154,5.386513593556247,5.386793593556247,-1.1881002994812662,-1.4192016776767369,-4.163492586767646,0.2668997005187339,0.26717970051873374,-1.412047980121497,-1.6177165405744764,-4.362007449665386,0.04295201987850317,0.043232019878503
3,2.86436,-0.809,-0.8093199999999999,3.217925953963004,2.675237477989174,-0.1891225220108259,4.026925953963004,4.0272459539630034,-1.082278415621022,-1.4932519874731451,-4.357611987473145,-0.27327841562102184,-0.27295841562102197,-1.2712290686776213,-1.6693765750044955,-4.533736575004496,-0.46222906867762126,-0.4619090686776214
4,2.359746153846154,-0.116,-0.11602000000000001,2.556000522999329,2.0931360638171888,-0.2666100900289652,2.672000522999329,2.672020522999329,-1.024306961006641,-1.5602753027705216,-3.9200214566166753,-0.9083069610066411,-0.9082869610066411,-1.178900355670612,-1.710071996381504,-4.069818150227658,-1.0629003556706118,-1.062880355670612
5,1.1804000000000001,-1.603,-1.6031199999999999,1.8083704014927209,1.4671078863991374,0.28670788639913725,3.4113704014927206,3.4114904014927205,-1.1497056525271545,-1.6475752574370444,-2.8279752574370445,0.45329434747284547,0.45341434747284537,-1.2752814384249178,-1.772482521526812,-2.952882521526812,0.32771856157508217,0.32783856157508207
6,-1.28485,-3.814,-3.8140799999999997,0.4441486635378169,0.9156056501796772,2.200455650179677,4.258148663537817,4.258228663537817,-1.9698996184122732,-1.686736661432557,-0.4018866614325569,1.8441003815877268,1.8441803815877265,-2.072641547819967,-1.7890515528436963,-0.5042015528436963,1.741358452180033,1.7414384521800326
7,-0.70655,-4.066,-4.06642,0.4946337198290166,0.5994196569442474,1.3059696569442474,4.560633719829016,4.561053719829016,-1.4705875111351816,-1.55495025977046,-0.8484002597704601,2.5954124888648185,2.5958324888648185,-1.5558026077696012,-1.6389459546953054,-0.9323959546953053,2.5101973922303986,2.5106173922303987
8,0.34745,-3.217,-3.2168800000000006,0.5619088552716676,0.3769392805374122,0.029489280537412232,3.7789088552716676,3.778788855271668,-1.0273807060339095,-1.3739165492153491,-1.7213665492153492,2.1896192939660906,2.189499293966091,-1.0964220260644653,-1.4447503418668397,-1.7922003418668397,2.120577973935535,2.1204579739355354
9,1.0461333333333334,-1.966,-1.96598,0.5359048612701371,0.2147738153299871,-0.8313595180033463,2.501904861270137,2.5018848612701374,-0.7424205216008886,-1.194774282476826,-2.2409076158101593,1.2235794783991114,1.2235594783991115,-0.8003241015657295,-1.2514305630388394,-2.2975638963721727,1.1656758984342703,1.1656558984342706
10,1.75943,-1.76,-1.75996,0.5150305033064797,0.1116436203785666,-1.6477863796214334,2.2750305033064797,2.27499050330648,-0.5106459457586425,-1.0108525764960503,-2.7702825764960504,1.2493540542413575,1.2493140542413574,-0.5540689916710108,-1.0552754721454396,-2.8147054721454396,1.2059310083289891,1.2058910083289893
